,Line_ct,Order ID,Order Date,Ship Date,Order Quantity,Unit Price,Discount,Sales,Profit,Cost,GM%,Product Category,Product Sub-Category,Product Name,Customer Segment,Customer Name,Country,Region,City (US),State (US),Postal Code (US),Returned,Order_YMD,Order Day,Order Month,Order Year
9747,1348,CA-2011-118339,2011-03-17,3/24/11,10,5.34,0.0,53.4,25.098,28.302,0.47,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Consumer,Bradley Nguyen,United States,US-Central,Lakeville,Minnesota,55044,0,2011-03-17,17,3,2011
9748,1349,CA-2011-118339,2011-03-17,3/24/11,6,5.98,0.0,35.88,17.2224,18.6576,0.48,Office Supplies,Binders,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,Consumer,Bradley Nguyen,United States,US-Central,Lakeville,Minnesota,55044,0,2011-03-17,17,3,2011
9749,1350,CA-2011-153976,2011-10-03,10/8/11,3,122.99,0.3,258.279,-70.1043,328.3833,-0.271428571,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",Consumer,Beth Paige,United States,US-Central,Evanston,Illinois,60201,0,2011-10-03,3,10,2011
9750,1351,CA-2013-162901,2013-03-29,4/1/13,2,15.7,0.0,31.4,7.85,23.55,0.25,Office Supplies,Storage,Hanging Personal Folder File,Corporate,Aaron Smayling,United States,US-South,Arlington,Virginia,22204,0,2013-03-29,29,3,2013
9751,1352,CA-2014-162978,2014-05-05,5/10/14,5,45.99,0.2,183.96,20.6955,163.2645,0.1125,Technology,Phones,Motorola L804,Corporate,Lindsay Williams,United States,US-West,San Francisco,California,94109,0,2014-05-05,5,5,2014
9752,1353,CA-2014-162978,2014-05-05,5/10/14,3,5.87,0.0,17.61,8.4528,9.1572,0.48,Office Supplies,Paper,Things To Do Today Pad,Corporate,Lindsay Williams,United States,US-West,San Francisco,California,94109,0,2014-05-05,5,5,2014
9753,1354,CA-2014-162978,2014-05-05,5/10/14,1,376.13,0.2,300.904,11.2839,289.6201,0.0375,Furniture,Tables,Bretford Rectangular Conference Table Tops,Corporate,Lindsay Williams,United States,US-West,San Francisco,California,94109,0,2014-05-05,5,5,2014
9754,1355,US-2011-160444,2011-07-05,7/5/11,3,91.99,0.2,220.776,-44.1552,264.9312,-0.2,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Consumer,Dan Campbell,United States,US-Central,Houston,Texas,77036,0,2011-07-05,5,7,2011
9755,1356,US-2011-160444,2011-07-05,7/5/11,11,31.98,0.2,281.424,-35.178,316.602,-0.125,Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer Steel Plus,Consumer,Dan Campbell,United States,US-Central,Houston,Texas,77036,0,2011-07-05,5,7,2011
9756,1357,CA-2013-145247,2013-05-06,5/8/13,3,26.38,0.0,79.14,36.4044,42.7356,0.46,Office Supplies,Paper,Xerox 1909,Consumer,Natalie DeCherney,United States,US-South,Louisville,Kentucky,40214,0,2013-05-06,6,5,2013
9757,1358,CA-2014-160045,2014-04-27,4/28/14,1,4.97,0.6,1.988,-1.4413,3.4293,-0.725,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",Consumer,Larry Blacks,United States,US-Central,Fort Worth,Texas,76106,0,2014-04-27,27,4,2014
9758,1359,US-2011-151925,2011-09-26,10/1/11,2,90.98,0.2,145.568,0.0,145.568,0.0,Furniture,Chairs,"Leather Task Chair, Black",Consumer,Kean Takahito,United States,US-West,Los Angeles,California,90049,0,2011-09-26,26,9,2011
9759,1360,CA-2014-125199,2014-10-20,10/26/14,7,22.01,0.2,123.256,9.2442,114.0118,0.075,Office Supplies,Art,Boston 16801 Nautilus Battery Pencil Sharpener,Corporate,Harry Marie,United States,US-East,Philadelphia,Pennsylvania,19120,0,2014-10-20,20,10,2014
9760,1361,CA-2014-125199,2014-10-20,10/26/14,4,7.4,0.2,23.68,7.4,16.28,0.3125,Office Supplies,Paper,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",Corporate,Harry Marie,United States,US-East,Philadelphia,Pennsylvania,19120,0,2014-10-20,20,10,2014
9761,1362,CA-2014-125199,2014-10-20,10/26/14,4,128.99,0.4,309.576,-56.7556,366.3316,-0.183333333,Technology,Phones,Digium D40 VoIP phone,Corporate,Harry Marie,United States,US-East,Philadelphia,Pennsylvania,19120,0,2014-10-20,20,10,2014
9762,1363,US-2014-155425,2014-11-11,11/12/14,14,9.14,0.7,38.388,-25.592,63.98,-0.666666667,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,Corporate,Ann Blume,United States,US-West,Tucson,Arizona,85705,0,2014-11-11,11,11,2014
9763,1364,US-2014-155425,2014-11-11,11/12/14,2,159.99,0.7,95.994,-63.996,159.99,-0.666666667,Technology,Machines,DYMO CardScan Personal V9 Business Card Scanner,Corporate,Ann Blume,United States,US-West,Tucson,Arizona,85705,0,2014-11-11,11,11,2014
9764,1365,US-2014-155425,2014-11-11,11/12/14,6,49.99,0.2,239.952,-35.9928,275.9448,-0.15,Technology,Accessories,Case Logic 2.4GHz Wireless Keyboard,Corporate,Ann Blume,United States,US-West,Tucson,Arizona,85705,0,2014-11-11,11,11,2014
9765,1366,US-2014-155425,2014-11-11,11/12/14,2,125.99,0.2,201.584,15.1188,186.4652,0.075,Technology,Phones,Adtran 1202752G1,Corporate,Ann Blume,United States,US-West,Tucson,Arizona,85705,0,2014-11-11,11,11,2014
9766,1367,US-2014-155425,2014-11-11,11/12/14,4,280.98,0.2,899.136,-146.1096,1045.2456,-0.1625,Furniture,Chairs,Hon 2090 â€œPillow Softâ€ Series Mid Back Swivel/Tilt Chairs,Corporate,Ann Blume,United States,US-West,Tucson,Arizona,85705,0,2014-11-11,11,11,2014
9767,1368,CA-2014-133249,2014-07-09,7/12/14,5,29.18,0.0,145.9,62.737,83.163,0.43,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Home Office,Sam Zeldin,United States,US-West,Pico Rivera,California,90660,0,2014-07-09,9,7,2014
9768,1369,US-2012-103471,2012-12-24,12/28/12,7,280.98,0.7,590.058,-786.744,1376.802,-1.333333333,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Consumer,Jim Radford,United States,US-West,Colorado Springs,Colorado,80906,0,2012-12-24,24,12,2012
9769,1370,US-2012-103471,2012-12-24,12/28/12,3,5.85,0.2,14.04,1.5795,12.4605,0.1125,Office Supplies,Art,"Dixon My First Ticonderoga Pencil, #2",Consumer,Jim Radford,United States,US-West,Colorado Springs,Colorado,80906,0,2012-12-24,24,12,2012
9770,1371,CA-2014-136672,2014-03-08,3/13/14,3,16.36,0.0,49.08,4.908,44.172,0.1,Technology,Accessories,Logitech Desktop MK120 Mouse and keyboard Combo,Home Office,Michael Granlund,United States,US-East,Clinton,Maryland,20735,0,2014-03-08,8,3,2014
9771,1372,US-2011-157021,2011-04-01,4/6/11,2,14.8,0.0,29.6,14.8,14.8,0.5,Office Supplies,Labels,Avery 490,Consumer,Kunst Miller,United States,US-West,Vallejo,California,94591,0,2011-04-01,1,4,2011
9772,1373,US-2011-157021,2011-04-01,4/6/11,4,5.34,0.2,17.088,5.5536,11.5344,0.325,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",Consumer,Kunst Miller,United States,US-West,Vallejo,California,94591,0,2011-04-01,1,4,2011
9773,1374,CA-2012-120362,2012-09-14,9/19/12,5,182.55,0.0,912.75,118.6575,794.0925,0.13,Furniture,Tables,"Lesro Round Back Collection Coffee Table, End Table",Consumer,Christina Anderson,United States,US-West,Provo,Utah,84604,0,2012-09-14,14,9,2012
9774,1375,CA-2011-126361,2011-08-04,8/9/11,3,363.25,0.0,1089.75,305.13,784.62,0.28,Office Supplies,Appliances,Hoover WindTunnel Plus Canister Vacuum,Consumer,Valerie Dominguez,United States,US-West,Pleasant Grove,Utah,84062,1,2011-08-04,4,8,2011
9775,1376,CA-2011-126361,2011-08-04,8/9/11,8,55.98,0.0,447.84,219.4416,228.3984,0.49,Office Supplies,Paper,Xerox 1934,Consumer,Valerie Dominguez,United States,US-West,Pleasant Grove,Utah,84062,1,2011-08-04,4,8,2011
9776,1377,CA-2011-126361,2011-08-04,8/9/11,5,3.28,0.0,16.4,4.264,12.136,0.26,Office Supplies,Art,Newell 329,Consumer,Valerie Dominguez,United States,US-West,Pleasant Grove,Utah,84062,1,2011-08-04,4,8,2011
9777,1378,CA-2011-126361,2011-08-04,8/9/11,5,99.99,0.2,399.96,34.9965,364.9635,0.0875,Technology,Phones,Panasonic KX T7731-B Digital phone,Consumer,Valerie Dominguez,United States,US-West,Pleasant Grove,Utah,84062,1,2011-08-04,4,8,2011
9778,1379,CA-2011-126361,2011-08-04,8/9/11,5,31.78,0.0,158.9,7.945,150.955,0.05,Office Supplies,Storage,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",Consumer,Valerie Dominguez,United States,US-West,Pleasant Grove,Utah,84062,1,2011-08-04,4,8,2011
9779,1380,CA-2011-126361,2011-08-04,8/9/11,1,16.48,0.2,13.184,4.7792,8.4048,0.3625,Office Supplies,Binders,Ibico Standard Transparent Covers,Consumer,Valerie Dominguez,United States,US-West,Pleasant Grove,Utah,84062,1,2011-08-04,4,8,2011
9780,1381,US-2013-100566,2013-09-04,9/10/13,3,69.96,0.6,83.952,-90.2484,174.2004,-1.075,Furniture,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",Home Office,Julie Kriz,United States,US-Central,Aurora,Illinois,60505,0,2013-09-04,4,9,2013
9781,1382,US-2013-108504,2013-02-05,2/5/13,1,80.98,0.0,80.98,1.6196,79.3604,0.02,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",Home Office,Paul Prost,United States,US-South,Smyrna,Georgia,30080,0,2013-02-05,5,2,2013
9782,1383,US-2013-108504,2013-02-05,2/5/13,9,38.76,0.0,348.84,170.9316,177.9084,0.49,Office Supplies,Paper,White Computer Printout Paper by Universal,Home Office,Paul Prost,United States,US-South,Smyrna,Georgia,30080,0,2013-02-05,5,2,2013
9783,1384,US-2013-108504,2013-02-05,2/5/13,5,1.89,0.0,9.45,0.189,9.261,0.02,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,Home Office,Paul Prost,United States,US-South,Smyrna,Georgia,30080,0,2013-02-05,5,2,2013
9784,1385,US-2013-108504,2013-02-05,2/5/13,3,6.28,0.0,18.84,7.1592,11.6808,0.38,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Black",Home Office,Paul Prost,United States,US-South,Smyrna,Georgia,30080,0,2013-02-05,5,2,2013
9785,1386,US-2013-108504,2013-02-05,2/5/13,2,119.99,0.0,239.98,52.7956,187.1844,0.22,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Home Office,Paul Prost,United States,US-South,Smyrna,Georgia,30080,0,2013-02-05,5,2,2013
9786,1387,US-2013-108504,2013-02-05,2/5/13,2,83.98,0.0,167.96,78.9412,89.0188,0.47,Office Supplies,Envelopes,Ames Color-File Green Diamond Border X-ray Mailers,Home Office,Paul Prost,United States,US-South,Smyrna,Georgia,30080,0,2013-02-05,5,2,2013
9787,1388,US-2013-108504,2013-02-05,2/5/13,3,34.95,0.0,104.85,28.3095,76.5405,0.27,Technology,Phones,Plantronics CordlessÂ Phone HeadsetÂ with In-line Volume - M214C,Home Office,Paul Prost,United States,US-South,Smyrna,Georgia,30080,0,2013-02-05,5,2,2013
9788,1389,US-2013-108504,2013-02-05,2/5/13,3,161.61,0.0,484.83,126.0558,358.7742,0.26,Technology,Phones,Aastra 57i VoIP phone,Home Office,Paul Prost,United States,US-South,Smyrna,Georgia,30080,0,2013-02-05,5,2,2013
9789,1390,US-2013-108504,2013-02-05,2/5/13,3,40.99,0.0,122.97,60.2553,62.7147,0.49,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Home Office,Paul Prost,United States,US-South,Smyrna,Georgia,30080,0,2013-02-05,5,2,2013
9790,1391,US-2013-108504,2013-02-05,2/5/13,3,51.48,0.0,154.44,1.5444,152.8956,0.01,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",Home Office,Paul Prost,United States,US-South,Smyrna,Georgia,30080,0,2013-02-05,5,2,2013
9791,1392,US-2013-108504,2013-02-05,2/5/13,7,48.91,0.0,342.37,160.9139,181.4561,0.47,Office Supplies,Paper,Xerox 1943,Home Office,Paul Prost,United States,US-South,Smyrna,Georgia,30080,0,2013-02-05,5,2,2013
9792,1393,CA-2014-124828,2014-07-04,7/5/14,3,3.98,0.2,9.552,1.5522,7.9998,0.1625,Office Supplies,Art,4009 Highlighters by Sanford,Corporate,Yana Sorensen,United States,US-South,Burlington,North Carolina,27217,0,2014-07-04,4,7,2014
9793,1394,US-2014-117247,2014-10-10,10/15/14,5,260.98,0.5,652.45,-430.617,1083.067,-0.66,Furniture,Tables,"Bevis Oval Conference Table, Walnut",Corporate,Cyma Kinney,United States,US-Central,Aurora,Illinois,60505,0,2014-10-10,10,10,2014
9794,1395,US-2014-117247,2014-10-10,10/15/14,3,44.43,0.5,66.645,-42.6528,109.2978,-0.64,Furniture,Tables,Hon 61000 Series Interactive Training Tables,Corporate,Cyma Kinney,United States,US-Central,Aurora,Illinois,60505,0,2014-10-10,10,10,2014
9795,1396,CA-2013-124485,2013-11-25,11/27/13,4,5.38,0.2,17.216,6.0256,11.1904,0.35,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",Consumer,Nat Carroll,United States,US-East,New York City,New York,10035,0,2013-11-25,25,11,2013
9796,1397,CA-2013-124485,2013-11-25,11/27/13,2,5.78,0.0,11.56,5.6644,5.8956,0.49,Office Supplies,Paper,Xerox 196,Consumer,Nat Carroll,United States,US-East,New York City,New York,10035,0,2013-11-25,25,11,2013
9797,1398,CA-2013-124485,2013-11-25,11/27/13,4,22.1,0.0,88.4,11.492,76.908,0.13,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Consumer,Nat Carroll,United States,US-East,New York City,New York,10035,0,2013-11-25,25,11,2013
9798,1399,CA-2013-124485,2013-11-25,11/27/13,1,6.48,0.0,6.48,3.1104,3.3696,0.48,Office Supplies,Paper,Xerox 217,Consumer,Nat Carroll,United States,US-East,New York City,New York,10035,0,2013-11-25,25,11,2013
9799,1400,CA-2013-159212,2013-11-02,11/6/13,2,10.9,0.0,21.8,6.104,15.696,0.28,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Home Office,Katherine Murray,United States,US-South,Salem,Virginia,24153,1,2013-11-02,2,11,2013
9800,1401,CA-2013-159212,2013-11-02,11/6/13,3,83.93,0.0,251.79,118.3413,133.4487,0.47,Office Supplies,Envelopes,Airmail Envelopes,Home Office,Katherine Murray,United States,US-South,Salem,Virginia,24153,1,2013-11-02,2,11,2013
9801,1402,US-2013-161396,2013-04-20,4/26/13,2,170.98,0.4,205.176,-58.1332,263.3092,-0.283333333,Furniture,Tables,"Bush Andora Conference Table, Maple/Graphite Gray Finish",Home Office,Gary Mitchum,United States,US-East,Columbus,Ohio,43229,0,2013-04-20,20,4,2013
9802,1403,US-2013-161396,2013-04-20,4/26/13,5,104.85,0.2,419.4,146.79,272.61,0.35,Office Supplies,Paper,Xerox 189,Home Office,Gary Mitchum,United States,US-East,Columbus,Ohio,43229,0,2013-04-20,20,4,2013
9803,1404,US-2011-118486,2011-04-06,4/8/11,1,12.88,0.2,10.304,-2.1896,12.4936,-0.2125,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,Home Office,Shirley Daniels,United States,US-East,Philadelphia,Pennsylvania,19143,0,2011-04-06,6,4,2011
9804,1405,US-2011-118486,2011-04-06,4/8/11,3,85.98,0.4,154.764,-36.1116,190.8756,-0.233333333,Furniture,Tables,KI Adjustable-Height Table,Home Office,Shirley Daniels,United States,US-East,Philadelphia,Pennsylvania,19143,0,2011-04-06,6,4,2011
9805,1406,US-2011-118486,2011-04-06,4/8/11,2,72.99,0.2,116.784,21.897,94.887,0.1875,Technology,Accessories,ImationÂ Secure+ Hardware Encrypted USB 2.0Â Flash Drive; 16GB,Home Office,Shirley Daniels,United States,US-East,Philadelphia,Pennsylvania,19143,0,2011-04-06,6,4,2011
9806,1407,CA-2013-130407,2013-09-03,9/7/13,2,37.74,0.0,75.48,19.6248,55.8552,0.26,Office Supplies,Art,Panasonic KP-150 Electric Pencil Sharpener,Consumer,Karen Daniels,United States,US-East,New York City,New York,10024,0,2013-09-03,3,9,2013
9807,1408,CA-2013-130407,2013-09-03,9/7/13,2,19.99,0.0,39.98,9.995,29.985,0.25,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,Consumer,Karen Daniels,United States,US-East,New York City,New York,10024,0,2013-09-03,3,9,2013
9808,1409,US-2013-122245,2013-09-26,10/1/13,3,262.11,0.5,393.165,-204.4458,597.6108,-0.52,Furniture,Tables,Bevis Boat-Shaped Conference Table,Consumer,Adrian Barton,United States,US-West,Phoenix,Arizona,85023,0,2013-09-26,26,9,2013
9809,1410,CA-2014-105144,2014-11-05,11/12/14,2,14.8,0.2,23.68,8.88,14.8,0.375,Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,Home Office,Sam Zeldin,United States,US-Central,Grand Prairie,Texas,75051,0,2014-11-05,5,11,2014
9810,1411,CA-2013-136329,2013-07-10,7/14/13,2,226.67,0.1,408.006,72.5344,335.4716,0.177777778,Furniture,Chairs,Hon GuestStacker Chair,Corporate,Jonathan Doherty,United States,US-East,New York City,New York,10035,0,2013-07-10,10,7,2013
9811,1412,CA-2013-136329,2013-07-10,7/14/13,4,41.32,0.0,165.28,14.8752,150.4048,0.09,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Corporate,Jonathan Doherty,United States,US-East,New York City,New York,10035,0,2013-07-10,10,7,2013
9812,1413,CA-2011-146640,2011-06-30,7/5/11,7,59.78,0.2,334.768,108.7996,225.9684,0.325,Office Supplies,Binders,GBC Recycled Regency Composition Covers,Consumer,Helen Abelman,United States,US-East,New York City,New York,10024,0,2011-06-30,30,6,2011
9813,1414,CA-2014-115994,2014-01-29,2/1/14,3,79.99,0.0,239.97,26.3967,213.5733,0.11,Technology,Accessories,Logitech G13 Programmable Gameboard with LCD Display,Home Office,Beth Thompson,United States,US-West,Costa Mesa,California,92627,1,2014-01-29,29,1,2014
9814,1415,CA-2014-115994,2014-01-29,2/1/14,3,12.58,0.0,37.74,12.8316,24.9084,0.34,Furniture,Furnishings,"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",Home Office,Beth Thompson,United States,US-West,Costa Mesa,California,92627,1,2014-01-29,29,1,2014
9815,1416,CA-2012-126697,2012-09-21,9/24/12,7,168.99,0.2,946.344,118.293,828.051,0.125,Technology,Phones,ShoreTel ShorePhone IP 230 VoIP phone,Corporate,Stuart Van,United States,US-Central,Houston,Texas,77041,0,2012-09-21,21,9,2012
9816,1417,CA-2012-126697,2012-09-21,9/24/12,3,63.0,0.2,151.2,32.13,119.07,0.2125,Technology,Accessories,Hypercom P1300 Pinpad,Corporate,Stuart Van,United States,US-Central,Houston,Texas,77041,0,2012-09-21,21,9,2012
9817,1418,CA-2012-126697,2012-09-21,9/24/12,4,3.08,0.6,4.928,-1.4784,6.4064,-0.3,Furniture,Furnishings,Longer-Life Soft White Bulbs,Corporate,Stuart Van,United States,US-Central,Houston,Texas,77041,0,2012-09-21,21,9,2012
9818,1419,CA-2012-124800,2012-09-26,9/30/12,4,26.96,0.2,86.272,31.2736,54.9984,0.3625,Office Supplies,Paper,Petty Cash Envelope,Corporate,Rick Wilson,United States,US-West,Mesa,Arizona,85204,0,2012-09-26,26,9,2012
9819,1420,CA-2012-124800,2012-09-26,9/30/12,2,120.98,0.7,72.588,-48.392,120.98,-0.666666667,Office Supplies,Binders,GBC VeloBinder Electric Binding Machine,Corporate,Rick Wilson,United States,US-West,Mesa,Arizona,85204,0,2012-09-26,26,9,2012
9820,1421,CA-2012-124800,2012-09-26,9/30/12,2,37.92,0.2,60.672,14.4096,46.2624,0.2375,Office Supplies,Appliances,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Corporate,Rick Wilson,United States,US-West,Mesa,Arizona,85204,0,2012-09-26,26,9,2012
9821,1422,CA-2012-124800,2012-09-26,9/30/12,9,28.53,0.7,77.031,-59.0571,136.0881,-0.766666667,Office Supplies,Binders,Lock-Up Easel 'Spel-Binder',Corporate,Rick Wilson,United States,US-West,Mesa,Arizona,85204,0,2012-09-26,26,9,2012
9822,1423,CA-2012-124800,2012-09-26,9/30/12,6,24.98,0.2,119.904,-1.4988,121.4028,-0.0125,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma,Corporate,Rick Wilson,United States,US-West,Mesa,Arizona,85204,0,2012-09-26,26,9,2012
9823,1424,CA-2012-124800,2012-09-26,9/30/12,5,65.99,0.2,263.96,23.0965,240.8635,0.0875,Technology,Phones,Samsung Rugby III,Corporate,Rick Wilson,United States,US-West,Mesa,Arizona,85204,0,2012-09-26,26,9,2012
9824,1425,CA-2012-124800,2012-09-26,9/30/12,4,113.64,0.2,363.648,-86.3664,450.0144,-0.2375,Office Supplies,Storage,SAFCO Boltless Steel Shelving,Corporate,Rick Wilson,United States,US-West,Mesa,Arizona,85204,0,2012-09-26,26,9,2012
9825,1426,US-2012-164448,2012-10-31,11/4/12,2,6.08,0.2,9.728,3.2832,6.4448,0.3375,Office Supplies,Binders,Prestige Round Ring Binders,Corporate,Damala Kotsonis,United States,US-West,Salinas,California,93905,0,2012-10-31,31,10,2012
9826,1427,US-2012-164448,2012-10-31,11/4/12,5,2.95,0.0,14.75,7.08,7.67,0.48,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Corporate,Damala Kotsonis,United States,US-West,Salinas,California,93905,0,2012-10-31,31,10,2012
9827,1428,US-2012-164448,2012-10-31,11/4/12,5,7.45,0.2,29.8,9.3125,20.4875,0.3125,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Corporate,Damala Kotsonis,United States,US-West,Salinas,California,93905,0,2012-10-31,31,10,2012
9828,1429,US-2012-164448,2012-10-31,11/4/12,14,30.53,0.0,427.42,196.6132,230.8068,0.46,Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Corporate,Damala Kotsonis,United States,US-West,Salinas,California,93905,0,2012-10-31,31,10,2012
9829,1430,CA-2014-122700,2014-11-27,12/1/14,8,45.99,0.4,220.752,-40.4712,261.2232,-0.183333333,Technology,Phones,Motorola L804,Consumer,Liz Thompson,United States,US-East,Columbus,Ohio,43229,0,2014-11-27,27,11,2014
9830,1431,CA-2011-120768,2011-12-19,12/21/11,6,25.46,0.0,152.76,74.8524,77.9076,0.49,Office Supplies,Binders,Canvas Sectional Post Binders,Consumer,Irene Maddox,United States,US-South,Florence,Alabama,35630,0,2011-12-19,19,12,2011
9831,1432,CA-2011-120768,2011-12-19,12/21/11,1,7.27,0.0,7.27,1.9629,5.3071,0.27,Office Supplies,Supplies,Acme Stainless Steel Office Snips,Consumer,Irene Maddox,United States,US-South,Florence,Alabama,35630,0,2011-12-19,19,12,2011
9832,1433,CA-2011-120768,2011-12-19,12/21/11,14,129.99,0.0,1819.86,163.7874,1656.0726,0.09,Furniture,Chairs,High-Back Leather Manager's Chair,Consumer,Irene Maddox,United States,US-South,Florence,Alabama,35630,0,2011-12-19,19,12,2011
9833,1434,US-2013-153129,2013-12-27,12/31/13,5,6.78,0.0,33.9,15.594,18.306,0.46,Office Supplies,Paper,Strathmore Photo Mount Cards,Consumer,Frank Preis,United States,US-West,Seattle,Washington,98105,0,2013-12-27,27,12,2013
9834,1435,CA-2014-106852,2014-06-21,6/28/14,6,6.48,0.2,31.104,10.8864,20.2176,0.35,Office Supplies,Paper,Xerox 203,Consumer,Shui Tom,United States,US-East,Parma,Ohio,44134,0,2014-06-21,21,6,2014
9835,1436,CA-2014-106852,2014-06-21,6/28/14,2,3.28,0.2,5.248,0.5904,4.6576,0.1125,Office Supplies,Art,Newell 35,Consumer,Shui Tom,United States,US-East,Parma,Ohio,44134,0,2014-06-21,21,6,2014
9836,1437,CA-2012-139731,2012-10-15,10/15/12,3,109.95,0.2,263.88,42.8805,220.9995,0.1625,Technology,Accessories,Plantronics Audio 995 Wireless Stereo Headset,Consumer,Joel Eaton,United States,US-Central,Amarillo,Texas,79109,1,2012-10-15,15,10,2012
9837,1438,CA-2012-139731,2012-10-15,10/15/12,5,700.98,0.3,2453.43,-350.49,2803.92,-0.142857143,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,Consumer,Joel Eaton,United States,US-Central,Amarillo,Texas,79109,1,2012-10-15,15,10,2012
9838,1439,CA-2014-122735,2014-04-13,4/16/14,5,5.94,0.0,29.7,13.365,16.335,0.45,Office Supplies,Binders,Storex Dura Pro Binders,Consumer,Bill Donatelli,United States,US-East,Providence,Rhode Island,2908,0,2014-04-13,13,4,2014
9839,1440,CA-2014-122735,2014-04-13,4/16/14,4,9.99,0.0,39.96,17.982,21.978,0.45,Office Supplies,Paper,Xerox 1948,Consumer,Bill Donatelli,United States,US-East,Providence,Rhode Island,2908,0,2014-04-13,13,4,2014
9840,1441,CA-2014-128160,2014-12-20,12/25/14,2,22.92,0.2,36.672,11.46,25.212,0.3125,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,Consumer,Michael Moore,United States,US-West,San Francisco,California,94110,0,2014-12-20,20,12,2014
9841,1442,CA-2014-117695,2014-08-06,8/9/14,2,6.88,0.0,13.76,6.3296,7.4304,0.46,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16â€ x 11â€",Corporate,Pauline Webber,United States,US-South,Richmond,Kentucky,40475,0,2014-08-06,6,8,2014
9842,1443,CA-2012-166135,2012-10-01,10/6/12,4,43.57,0.2,139.424,17.428,121.996,0.125,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",Corporate,Shaun Chance,United States,US-West,Aurora,Colorado,80013,0,2012-10-01,1,10,2012
9843,1444,CA-2013-133725,2013-05-24,5/29/13,9,274.99,0.2,1979.928,148.4946,1831.4334,0.075,Technology,Phones,Mitel MiVoice 5330e IP Phone,Consumer,Ken Lonsdale,United States,US-Central,Chicago,Illinois,60623,0,2013-05-24,24,5,2013
9844,1445,CA-2014-102337,2014-06-14,6/17/14,4,51.48,0.2,164.736,-39.1248,203.8608,-0.2375,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",Home Office,Shirley Daniels,United States,US-Central,Chicago,Illinois,60653,0,2014-06-14,14,6,2014
9845,1446,CA-2014-102337,2014-06-14,6/17/14,7,95.98,0.3,470.302,-87.3418,557.6438,-0.185714286,Furniture,Chairs,Global Super Steno Chair,Home Office,Shirley Daniels,United States,US-Central,Chicago,Illinois,60653,0,2014-06-14,14,6,2014
9846,1447,CA-2014-102337,2014-06-14,6/17/14,2,29.99,0.2,47.984,5.998,41.986,0.125,Technology,Phones,OtterBox Defender Series Case - Samsung Galaxy S4,Home Office,Shirley Daniels,United States,US-Central,Chicago,Illinois,60653,0,2014-06-14,14,6,2014
