,Line_ct,Order ID,Order Date,Ship Date,Order Quantity,Unit Price,Discount,Sales,Profit,Cost,GM%,Product Category,Product Sub-Category,Product Name,Customer Segment,Customer Name,Country,Region,Province (CA),Returned,Order_YMD,Order Day,Order Month,Order Year
1765,1765,35584,2011-05-03,5/3/11,15,9.71,0.08,150.33,-98.23,248.56,-0.653429123,Office Supplies,Storage & Organization,Filing/Storage Totes and Swivel Casters,Corporate,Joel Jenkins,Canada,CA-Ontario,Ontario,0,2011-05-03,3,5,2011
1766,1766,35908,2010-12-12,12/14/10,40,5.78,0.06,240.18,-160.21,400.39,-0.667041386,Office Supplies,Paper,HP Office Recycled Paper (20Lb. and 87 Bright),Small Business,Brad Eason,Canada,CA-Ontario,Ontario,0,2010-12-12,12,12,2010
1767,1767,35908,2010-12-12,12/13/10,45,12.21,0.1,529.28,-30.27,559.55,-0.057190901,Office Supplies,Storage & Organization,Portable Personal File Box,Small Business,Brad Eason,Canada,CA-Ontario,Ontario,0,2010-12-12,12,12,2010
1768,1768,36706,2009-04-11,4/13/09,47,20.98,0.1,887.45,365.79,521.66,0.412180968,Office Supplies,Binders and Binder Accessories,Avery Legal 4-Ring Binder,Small Business,Brad Eason,Canada,CA-Ontario,Ontario,0,2009-04-11,11,4,2009
1769,1769,36706,2009-04-11,4/13/09,7,48.04,0.03,355.97,-4.46,360.43,-0.012529146,Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,Small Business,Brad Eason,Canada,CA-Ontario,Ontario,0,2009-04-11,11,4,2009
1770,1770,37121,2011-03-15,3/16/11,44,216.6,0.01,9499.3,618.36,8880.94,0.065095323,Furniture,Chairs & Chairmats,Hon Multipurpose Stacking Arm Chairs,Corporate,Bill Donatelli,Canada,CA-Ontario,Ontario,0,2011-03-15,15,3,2011
1771,1771,38528,2011-12-20,12/21/11,36,85.99,0.07,2544.985,-113.06,2658.045,-0.044424623,Technology,Telephones and Communication,Accessory4,Small Business,Russell Applegate,Canada,CA-Ontario,Ontario,0,2011-12-20,20,12,2011
1772,1772,38853,2012-03-23,3/27/12,13,65.99,0.04,728.025,20.0,708.025,0.027471584,Technology,Telephones and Communication,6000,Home Office,Duane Benoit,Canada,CA-Ontario,Ontario,0,2012-03-23,23,3,2012
1773,1773,39590,2011-05-14,5/21/11,9,7.64,0.0,79.25,-13.25,92.5,-0.167192429,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Small Business,Jason Gross,Canada,CA-Ontario,Ontario,0,2011-05-14,14,5,2011
1774,1774,40707,2009-06-11,6/13/09,26,65.99,0.0,1495.184,211.09,1284.094,0.141179948,Technology,Telephones and Communication,5180,Small Business,Harold Pawlan,Canada,CA-Ontario,Ontario,0,2009-06-11,11,6,2009
1775,1775,40961,2011-03-30,3/31/11,7,3.15,0.02,23.84,5.88,17.96,0.246644295,Office Supplies,Labels,Avery 520,Corporate,Bill Donatelli,Canada,CA-Ontario,Ontario,0,2011-03-30,30,3,2011
1776,1776,41026,2011-04-19,4/20/11,8,89.99,0.1,709.37,-281.76,991.13,-0.397197513,Furniture,Chairs & Chairmats,"Global Leather Task Chair, Black",Home Office,Duane Benoit,Canada,CA-Ontario,Ontario,0,2011-04-19,19,4,2011
1777,1777,41026,2011-04-19,4/19/11,19,3.14,0.1,59.76,-33.11,92.87,-0.554049531,Office Supplies,"Scissors, Rulers and Trimmers",Serrated Blade or Curved Handle Hand Letter Openers,Home Office,Duane Benoit,Canada,CA-Ontario,Ontario,0,2011-04-19,19,4,2011
1778,1778,41543,2009-02-06,2/10/09,45,160.98,0.03,7548.65,1385.35,6163.3,0.183522882,Furniture,Chairs & Chairmats,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Corporate,Bill Donatelli,Canada,CA-Ontario,Ontario,0,2009-02-06,6,2,2009
1779,1779,41543,2009-02-06,2/10/09,24,65.99,0.03,1318.8685,172.33,1146.5385,0.130665036,Technology,Telephones and Communication,StarTAC 7760,Corporate,Bill Donatelli,Canada,CA-Ontario,Ontario,0,2009-02-06,6,2,2009
1780,1780,41606,2009-06-23,6/24/09,23,200.98,0.09,4514.86,-641.09,5155.95,-0.141995544,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,Small Business,Brad Eason,Canada,CA-Ontario,Ontario,0,2009-06-23,23,6,2009
1781,1781,41606,2009-06-23,6/24/09,30,2.78,0.09,79.14,-4.73,83.87,-0.059767501,Office Supplies,Pens & Art Supplies,Newell 333,Small Business,Brad Eason,Canada,CA-Ontario,Ontario,0,2009-06-23,23,6,2009
1782,1782,41926,2011-02-05,2/6/11,17,6.48,0.08,112.57,-28.53,141.1,-0.253442303,Office Supplies,Paper,Xerox 23,Small Business,Harold Pawlan,Canada,CA-Ontario,Ontario,0,2011-02-05,5,2,2011
1783,1783,41926,2011-02-05,2/5/11,43,34.76,0.0,1562.69,287.74,1274.95,0.18413121,Office Supplies,Storage & Organization,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Small Business,Harold Pawlan,Canada,CA-Ontario,Ontario,0,2011-02-05,5,2,2011
1784,1784,50533,2011-05-31,6/2/11,32,64.65,0.06,1974.66,-929.68,2904.34,-0.470805101,Office Supplies,Storage & Organization,Space Solutions Commercial Steel Shelving,Small Business,Adam Bellavance,Canada,CA-Ontario,Ontario,0,2011-05-31,31,5,2011
1785,1785,50533,2011-05-31,6/1/11,3,15.23,0.0,73.44,-53.78,127.22,-0.732298475,Furniture,Tables,Anderson Hickey Conga Table Tops & Accessories,Small Business,Adam Bellavance,Canada,CA-Ontario,Ontario,0,2011-05-31,31,5,2011
1786,1786,51747,2012-07-05,7/6/12,3,3.69,0.02,12.11,-0.98,13.09,-0.080924855,Office Supplies,Labels,Avery 52,Small Business,Harold Pawlan,Canada,CA-Ontario,Ontario,0,2012-07-05,5,7,2012
1787,1787,53314,2010-09-19,9/19/10,33,78.69,0.01,2667.92,1049.02,1618.9,0.393197697,Furniture,Office Furnishings,Howard Miller 12-3/4 Diameter Accuwave DS â„¢ Wall Clock,Home Office,Cari Sayre,Canada,CA-Ontario,Ontario,0,2010-09-19,19,9,2010
1788,1788,53314,2010-09-19,9/21/10,15,145.98,0.05,2236.15,-310.95,2547.1,-0.139055967,Furniture,Tables,Bevis Rectangular Conference Tables,Home Office,Cari Sayre,Canada,CA-Ontario,Ontario,0,2010-09-19,19,9,2010
1789,1789,54791,2012-12-20,12/22/12,45,90.98,0.0,4165.04,135.68,4029.36,0.032575918,Furniture,Chairs & Chairmats,Office Star - Task Chair with Contemporary Loop Arms,Corporate,Lisa DeCherney,Canada,CA-Ontario,Ontario,0,2012-12-20,20,12,2012
1790,1790,54912,2011-07-21,7/28/11,17,6.69,0.07,117.33,10.31,107.02,0.087871815,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Small Business,Harold Pawlan,Canada,CA-Ontario,Ontario,0,2011-07-21,21,7,2011
1791,1791,55269,2010-03-07,3/8/10,1,30.98,0.0,49.61,-41.82,91.43,-0.842975207,Office Supplies,Paper,Xerox 197,Small Business,Adam Bellavance,Canada,CA-Ontario,Ontario,0,2010-03-07,7,3,2010
1792,1792,56101,2010-07-19,7/21/10,1,14.42,0.01,21.45,-7.22,28.67,-0.336596737,Office Supplies,Appliances,Holmes Odor Grabber,Corporate,Bill Donatelli,Canada,CA-Ontario,Ontario,1,2010-07-19,19,7,2010
1793,1793,56101,2010-07-19,7/22/10,44,122.99,0.08,5347.13,1886.41,3460.72,0.352789253,Office Supplies,Binders and Binder Accessories,GBC Therma-A-Bind 250T Electric Binding System,Corporate,Bill Donatelli,Canada,CA-Ontario,Ontario,1,2010-07-19,19,7,2010
1794,1794,56582,2009-06-12,6/12/09,36,130.98,0.04,4581.41,-904.73,5486.14,-0.197478506,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",Small Business,Harold Pawlan,Canada,CA-Ontario,Ontario,1,2009-06-12,12,6,2009
1795,1795,56677,2009-04-11,4/12/09,35,12.22,0.0,430.55,120.01,310.54,0.2787365,Furniture,Office Furnishings,Aluminum Document Frame,Corporate,Roy Skaria,Canada,CA-Ontario,Ontario,0,2009-04-11,11,4,2009
1796,1796,58725,2010-05-20,5/21/10,20,7.04,0.03,148.31,37.33,110.98,0.251702515,Office Supplies,Paper,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Corporate,Joel Jenkins,Canada,CA-Ontario,Ontario,1,2010-05-20,20,5,2010
1797,1797,59683,2012-10-13,10/14/12,37,4.91,0.05,191.36,-82.09,273.45,-0.428982023,Office Supplies,Binders and Binder Accessories,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Small Business,Bill Donatelli,Canada,CA-Ontario,Ontario,1,2012-10-13,13,10,2012
1798,1798,837,2009-06-14,6/16/09,11,5.84,0.01,65.7,13.41,52.29,0.204109589,Office Supplies,Pens & Art Supplies,Avery Hi-LiterÂ® Smear-Safe Highlighters,Corporate,Sean O'Donnell,Canada,CA-Ontario,Ontario,0,2009-06-14,14,6,2009
1799,1799,1059,2009-02-26,2/28/09,22,5.34,0.02,127.33,5.3,122.03,0.041624126,Office Supplies,Binders and Binder Accessories,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Corporate,Sean O'Donnell,Canada,CA-Ontario,Ontario,0,2009-02-26,26,2,2009
1800,1800,1059,2009-02-26,2/27/09,24,40.98,0.03,990.1,310.22,679.88,0.313321887,Office Supplies,Binders and Binder Accessories,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Corporate,Sean O'Donnell,Canada,CA-Ontario,Ontario,0,2009-02-26,26,2,2009
1801,1801,1826,2012-04-15,4/16/12,5,4.98,0.09,28.32,-14.35,42.67,-0.50670904,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Corporate,Susan Vittorini,Canada,CA-Ontario,Ontario,0,2012-04-15,15,4,2012
1802,1802,2020,2010-06-20,6/22/10,42,5.02,0.03,213.75,-188.77,402.52,-0.883134503,Technology,Computer Peripherals,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2010-06-20,20,6,2010
1803,1803,10340,2011-06-22,6/23/11,24,320.98,0.03,7547.14,2080.48,5466.66,0.275664689,Furniture,Chairs & Chairmats,Hon Pagodaâ„¢ Stacking Chairs,Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2011-06-22,22,6,2011
1804,1804,10340,2011-06-22,6/23/11,2,110.98,0.08,224.32,-178.77,403.09,-0.796941869,Furniture,Office Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2011-06-22,22,6,2011
1805,1805,10340,2011-06-22,6/25/11,15,22.01,0.09,311.98,-9.78,321.76,-0.031348163,Office Supplies,Pens & Art Supplies,Boston 16801 Nautilusâ„¢ Battery Pencil Sharpener,Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2011-06-22,22,6,2011
1806,1806,11044,2012-06-24,6/25/12,3,3.28,0.09,14.49,-12.58,27.07,-0.868184955,Office Supplies,Pens & Art Supplies,Newell 35,Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2012-06-24,24,6,2012
1807,1807,13313,2009-07-16,7/18/09,18,12.99,0.02,243.51,-159.86,403.37,-0.65648228,Furniture,Office Furnishings,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Home Office,Skye Norling,Canada,CA-Ontario,Ontario,0,2009-07-16,16,7,2009
1808,1808,13313,2009-07-16,7/18/09,22,35.44,0.05,755.6,223.44,532.16,0.295712017,Office Supplies,Paper,Xerox 1906,Home Office,Skye Norling,Canada,CA-Ontario,Ontario,0,2009-07-16,16,7,2009
1809,1809,13313,2009-07-16,7/19/09,45,12.98,0.02,592.73,75.01,517.72,0.126550031,Office Supplies,"Scissors, Rulers and Trimmers","AcmeÂ® 8"" Straight Scissors",Home Office,Skye Norling,Canada,CA-Ontario,Ontario,0,2009-07-16,16,7,2009
1810,1810,15718,2009-01-27,1/28/09,36,2.94,0.09,100.87,8.4,92.47,0.083275503,Office Supplies,Pens & Art Supplies,Newell 338,Corporate,Sean O'Donnell,Canada,CA-Ontario,Ontario,1,2009-01-27,27,1,2009
1811,1811,17506,2010-02-28,3/4/10,33,294.62,0.03,9473.31,1939.11,7534.2,0.204691919,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,Home Office,Susan Vittorini,Canada,CA-Ontario,Ontario,0,2010-02-28,28,2,2010
1812,1812,20003,2012-01-30,1/31/12,39,19.98,0.05,796.08,30.29,765.79,0.03804894,Technology,Computer Peripherals,Belkin 105-Key Black Keyboard,Corporate,Shirley Schmidt,Canada,CA-Ontario,Ontario,0,2012-01-30,30,1,2012
1813,1813,20805,2011-01-10,1/13/11,12,5.53,0.06,69.98,-58.33,128.31,-0.833523864,Office Supplies,Binders and Binder Accessories,Avery Durable Poly Binders,Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2011-01-10,10,1,2011
1814,1814,20805,2011-01-10,1/12/11,35,12.58,0.08,418.34,73.57,344.77,0.175861739,Furniture,Office Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2011-01-10,10,1,2011
1815,1815,20805,2011-01-10,1/11/11,3,4.28,0.06,17.7,-10.37,28.07,-0.585875706,Office Supplies,Paper,Xerox 1962,Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2011-01-10,10,1,2011
1816,1816,20805,2011-01-10,1/11/11,12,3.85,0.1,45.61,9.18,36.43,0.201271651,Office Supplies,Pens & Art Supplies,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2011-01-10,10,1,2011
1817,1817,23524,2009-04-28,4/30/09,28,4.13,0.04,129.33,48.25,81.08,0.373076626,Office Supplies,Labels,Avery 491,Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2009-04-28,28,4,2009
1818,1818,23524,2009-04-28,4/30/09,46,55.48,0.06,2461.23,748.2,1713.03,0.303994344,Office Supplies,Paper,Xerox 194,Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2009-04-28,28,4,2009
1819,1819,29860,2009-09-13,9/16/09,48,178.47,0.08,8295.29,2267.22,6028.07,0.273314134,Office Supplies,Storage & Organization,"Hot FileÂ® 7-Pocket, Floor Stand",Home Office,Skye Norling,Canada,CA-Ontario,Ontario,0,2009-09-13,13,9,2009
1820,1820,30787,2011-09-27,9/28/11,43,175.99,0.05,6477.459,1836.46,4640.999,0.283515496,Technology,Telephones and Communication,2180,Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2011-09-27,27,9,2011
1821,1821,37440,2010-06-23,6/25/10,31,9.38,0.03,295.45,-4.36,299.81,-0.01475715,Furniture,Office Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",Corporate,Rick Wilson,Canada,CA-Ontario,Ontario,0,2010-06-23,23,6,2010
1822,1822,39872,2010-02-22,2/23/10,5,2.88,0.01,16.24,0.35,15.89,0.021551724,Office Supplies,Labels,Avery 514,Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,1,2010-02-22,22,2,2010
1823,1823,39943,2012-06-07,6/8/12,16,1.7,0.02,28.65,-23.86,52.51,-0.832809773,Technology,Computer Peripherals,BASF Silver 74 Minute CD-R,Consumer,Rick Wilson,Canada,CA-Ontario,Ontario,1,2012-06-07,7,6,2012
1824,1824,39943,2012-06-07,6/9/12,12,20.99,0.09,201.535,-122.62,324.155,-0.608430297,Technology,Telephones and Communication,Accessory39,Consumer,Rick Wilson,Canada,CA-Ontario,Ontario,1,2012-06-07,7,6,2012
1825,1825,42405,2010-01-21,1/23/10,13,5.98,0.08,81.68,-25.22,106.9,-0.308765916,Office Supplies,Paper,Xerox 193,Home Office,Skye Norling,Canada,CA-Ontario,Ontario,0,2010-01-21,21,1,2010
1826,1826,47171,2010-01-07,1/8/10,21,6.48,0.01,147.16,-92.55,239.71,-0.628907312,Office Supplies,Paper,Xerox 212,Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2010-01-07,7,1,2010
1827,1827,47171,2010-01-07,1/8/10,19,2.67,0.03,50.07,-0.53,50.6,-0.010585181,Office Supplies,Pens & Art Supplies,Blackstonian Pencils,Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2010-01-07,7,1,2010
1828,1828,47171,2010-01-07,1/7/10,32,217.85,0.05,6982.87,875.55,6107.32,0.125385407,Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2010-01-07,7,1,2010
1829,1829,48576,2012-12-01,12/2/12,17,28.53,0.07,464.59,168.22,296.37,0.362082697,Office Supplies,Binders and Binder Accessories,Lock-Up Easel 'Spel-Binder',Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2012-12-01,1,12,2012
1830,1830,48576,2012-12-01,12/3/12,47,6.48,0.06,316.68,-161.0,477.68,-0.508399646,Office Supplies,Paper,Xerox 220,Home Office,Sandra Glassco,Canada,CA-Ontario,Ontario,0,2012-12-01,1,12,2012
1831,1831,53984,2012-12-10,12/11/12,23,6.88,0.0,172.9,51.43,121.47,0.297455176,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16â€ x 11â€",Corporate,Rick Wilson,Canada,CA-Ontario,Ontario,0,2012-12-10,10,12,2012
1832,1832,129,2012-11-18,11/27/12,4,6.48,0.09,32.72,-22.59,55.31,-0.690403423,Office Supplies,Paper,Xerox 217,Corporate,Pauline Chand,Canada,CA-Ontario,Ontario,0,2012-11-18,18,11,2012
1833,1833,388,2012-12-15,12/18/12,46,11.7,0.06,517.93,-94.73,612.66,-0.182901164,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,Home Office,Jennifer Halladay,Canada,CA-Ontario,Ontario,0,2012-12-15,15,12,2012
1834,1834,1345,2012-10-27,10/31/12,24,100.98,0.08,2443.85,-120.85,2564.7,-0.049450662,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",Corporate,Ritsa Hightower,Canada,CA-Ontario,Ontario,0,2012-10-27,27,10,2012
1835,1835,1793,2012-07-11,7/11/12,36,6.28,0.03,233.43,-71.9,305.33,-0.308015251,Office Supplies,Binders and Binder Accessories,GBC Standard Plastic Binding Systems' Combs,Home Office,Joni Blumstein,Canada,CA-Ontario,Ontario,0,2012-07-11,11,7,2012
1836,1836,2209,2012-07-09,7/11/12,27,320.98,0.0,9418.73,2245.24,7173.49,0.238380334,Furniture,Chairs & Chairmats,Hon 4070 Series Pagodaâ„¢ Round Back Stacking Chairs,Consumer,Pete Armstrong,Canada,CA-Ontario,Ontario,0,2012-07-09,9,7,2012
1837,1837,2209,2012-07-09,7/10/12,1,4.76,0.02,5.68,-1.82,7.5,-0.320422535,Office Supplies,Paper,Wirebound Voice Message Log Book,Consumer,Pete Armstrong,Canada,CA-Ontario,Ontario,0,2012-07-09,9,7,2012
1838,1838,2209,2012-07-09,7/9/12,42,4.28,0.08,174.59,25.88,148.71,0.148233003,Office Supplies,Pens & Art Supplies,Newell 336,Consumer,Pete Armstrong,Canada,CA-Ontario,Ontario,0,2012-07-09,9,7,2012
1839,1839,2209,2012-07-09,7/10/12,13,125.99,0.1,1265.497,-161.12,1426.617,-0.127317568,Technology,Telephones and Communication,270c,Consumer,Pete Armstrong,Canada,CA-Ontario,Ontario,0,2012-07-09,9,7,2012
1840,1840,2947,2011-04-25,4/27/11,8,6.48,0.05,57.04,-29.06,86.1,-0.509467041,Office Supplies,Paper,Xerox 1930,Consumer,Pete Armstrong,Canada,CA-Ontario,Ontario,0,2011-04-25,25,4,2011
1841,1841,3271,2011-12-31,12/31/11,45,264.98,0.07,11532.99,2753.39,8779.6,0.238740344,Technology,Office Machines,Panasonic KX-P1131 Dot Matrix Printer,Home Office,Joni Blumstein,Canada,CA-Ontario,Ontario,0,2011-12-31,31,12,2011
1842,1842,3271,2011-12-31,1/1/12,18,8.34,0.06,146.1,51.14,94.96,0.350034223,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Home Office,Joni Blumstein,Canada,CA-Ontario,Ontario,0,2011-12-31,31,12,2011
1843,1843,4321,2009-07-17,7/19/09,47,30.53,0.02,1505.57,-54.63,1560.2,-0.036285261,Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Corporate,Pauline Chand,Canada,CA-Ontario,Ontario,0,2009-07-17,17,7,2009
1844,1844,4545,2010-01-16,1/18/10,33,4.0,0.08,126.38,26.64,99.74,0.210792847,Office Supplies,Paper,EcoTonesÂ® Memo Sheets,Small Business,Pauline Chand,Canada,CA-Ontario,Ontario,0,2010-01-16,16,1,2010
1845,1845,4545,2010-01-16,1/17/10,4,6.48,0.06,33.1,-24.15,57.25,-0.729607251,Office Supplies,Paper,Xerox 1984,Small Business,Pauline Chand,Canada,CA-Ontario,Ontario,0,2010-01-16,16,1,2010
1846,1846,5572,2009-07-16,7/18/09,37,7.37,0.03,288.55,-133.7,422.25,-0.463351239,Technology,Computer Peripherals,"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box",Corporate,Anna Gayman,Canada,CA-Ontario,Ontario,0,2009-07-16,16,7,2009
1847,1847,5703,2010-05-15,5/16/10,29,12.28,0.06,357.96,10.44,347.52,0.02916527,Office Supplies,Paper,Xerox 1881,Consumer,Joni Blumstein,Canada,CA-Ontario,Ontario,0,2010-05-15,15,5,2010
1848,1848,5920,2009-11-19,11/19/09,4,155.06,0.07,582.59,-121.75,704.34,-0.208980587,Office Supplies,Storage & Organization,"Dual Level, Single-Width Filing Carts",Consumer,Nat Gilpin,Canada,CA-Ontario,Ontario,0,2009-11-19,19,11,2009
1849,1849,6311,2010-02-10,2/13/10,18,85.99,0.04,1297.4485,4.21,1293.2385,0.00324483,Technology,Telephones and Communication,3395,Corporate,Anna Gayman,Canada,CA-Ontario,Ontario,0,2010-02-10,10,2,2010
1850,1850,8231,2012-10-18,10/20/12,27,2.88,0.06,79.44,29.85,49.59,0.375755287,Office Supplies,Labels,Avery 492,Corporate,Pauline Chand,Canada,CA-Ontario,Ontario,0,2012-10-18,18,10,2012
1851,1851,8231,2012-10-18,10/19/12,5,19.98,0.06,110.03,-31.33,141.36,-0.284740525,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Corporate,Pauline Chand,Canada,CA-Ontario,Ontario,0,2012-10-18,18,10,2012
1852,1852,8709,2009-03-08,3/10/09,50,51.98,0.07,2451.41,773.36,1678.05,0.315475583,Technology,Office Machines,Canon MP25DIII Desktop Whisper-Quiet Printing Calculator,Home Office,Rose O'Brian,Canada,CA-Ontario,Ontario,0,2009-03-08,8,3,2009
1853,1853,8709,2009-03-08,3/11/09,11,80.97,0.1,851.24,-149.46,1000.7,-0.175579155,Technology,Office Machines,Lexmark Z25 Color Inkjet Printer,Home Office,Rose O'Brian,Canada,CA-Ontario,Ontario,0,2009-03-08,8,3,2009
1854,1854,9765,2012-10-12,10/19/12,26,128.24,0.03,3505.6,1019.7,2485.9,0.290877453,Furniture,Chairs & Chairmats,SAFCO Folding Chair Trolley,Home Office,Rose O'Brian,Canada,CA-Ontario,Ontario,0,2012-10-12,12,10,2012
1855,1855,10147,2010-10-09,10/10/10,22,4.24,0.04,96.75,-72.91,169.66,-0.753591731,Office Supplies,Binders and Binder Accessories,Storex DuraTech Recycled Plastic Frosted Binders,Home Office,Jennifer Halladay,Canada,CA-Ontario,Ontario,0,2010-10-09,9,10,2010
1856,1856,11876,2011-07-03,7/6/11,47,107.53,0.02,5051.89,1708.84,3343.05,0.338257563,Furniture,Office Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Home Office,Joni Blumstein,Canada,CA-Ontario,Ontario,0,2011-07-03,3,7,2011
1857,1857,12224,2009-12-12,12/14/09,2,124.49,0.04,302.91,-186.13,489.04,-0.614472946,Furniture,Tables,Bevis 36 x 72 Conference Tables,Consumer,Joni Blumstein,Canada,CA-Ontario,Ontario,0,2009-12-12,12,12,2009
1858,1858,12224,2009-12-12,12/12/09,29,35.99,0.1,842.6135,-208.43,1051.0435,-0.247361335,Technology,Telephones and Communication,Accessory17,Consumer,Joni Blumstein,Canada,CA-Ontario,Ontario,0,2009-12-12,12,12,2009
1859,1859,12256,2012-12-18,12/20/12,44,2.88,0.1,117.97,44.59,73.38,0.377977452,Office Supplies,Labels,Avery 49,Home Office,Joni Blumstein,Canada,CA-Ontario,Ontario,0,2012-12-18,18,12,2012
1860,1860,12261,2010-10-23,10/28/10,12,200.98,0.1,2237.76,151.86,2085.9,0.067862505,Furniture,Chairs & Chairmats,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Corporate,Ritsa Hightower,Canada,CA-Ontario,Ontario,0,2010-10-23,23,10,2010
1861,1861,12261,2010-10-23,10/27/10,4,3.98,0.02,20.59,1.19,19.4,0.057795046,Office Supplies,Pens & Art Supplies,Fluorescent Highlighters by Dixon,Corporate,Ritsa Hightower,Canada,CA-Ontario,Ontario,0,2010-10-23,23,10,2010
1862,1862,12261,2010-10-23,10/28/10,19,14.56,0.06,281.74,25.67,256.07,0.091112373,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,Corporate,Ritsa Hightower,Canada,CA-Ontario,Ontario,0,2010-10-23,23,10,2010
1863,1863,12261,2010-10-23,10/30/10,23,8.74,0.0,217.35,-67.19,284.54,-0.309132735,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Corporate,Ritsa Hightower,Canada,CA-Ontario,Ontario,0,2010-10-23,23,10,2010
1864,1864,12261,2010-10-23,10/28/10,15,178.47,0.03,2746.57,617.4,2129.17,0.224789465,Office Supplies,Storage & Organization,"Hot FileÂ® 7-Pocket, Floor Stand",Corporate,Ritsa Hightower,Canada,CA-Ontario,Ontario,0,2010-10-23,23,10,2010
1865,1865,13408,2009-02-14,2/16/09,4,60.65,0.04,256.77,173.89,82.88,0.677220859,Furniture,Office Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Home Office,Joni Blumstein,Canada,CA-Ontario,Ontario,0,2009-02-14,14,2,2009
1866,1866,13444,2012-01-05,1/8/12,33,4.76,0.06,154.44,54.62,99.82,0.353664854,Office Supplies,Paper,Wirebound Voice Message Log Book,Consumer,Pete Armstrong,Canada,CA-Ontario,Ontario,1,2012-01-05,5,1,2012
1867,1867,13601,2012-08-16,8/20/12,17,49.43,0.09,822.91,-94.76,917.67,-0.115152325,Office Supplies,Appliances,"Eureka Hand Vacuum, Bagless",Consumer,Joni Blumstein,Canada,CA-Ontario,Ontario,0,2012-08-16,16,8,2012
1868,1868,13894,2012-04-10,4/11/12,31,2.94,0.04,89.18,21.73,67.45,0.243664499,Office Supplies,Pens & Art Supplies,Prang Colored Pencils,Home Office,Rose O'Brian,Canada,CA-Ontario,Ontario,0,2012-04-10,10,4,2012
1869,1869,13894,2012-04-10,4/11/12,50,35.99,0.05,1540.285,829.65,710.635,0.538634084,Technology,Telephones and Communication,Accessory23,Home Office,Rose O'Brian,Canada,CA-Ontario,Ontario,0,2012-04-10,10,4,2012
